,id,path,question,a,b,c,d,answer
3041,train_3042,train/train_3042.jpg,What kind of place is this usually showing?,Theatre,Museum,Library,Inside the big mall.,d
3042,train_3043,train/train_3043.jpg,What is the shape of the candle on this cake?,Heart shape,Triangle,Star Appearance,Circular,a
3043,train_3044,train/train_3044.jpg,What time does this lecture start?,14 o'clock.,17 o'clock.,16 o'clock.,15 o'clock.,c
3044,train_3045,train/train_3045.jpg,What are the main components of the game that you see in this image?,Animal Characters,Card Game,Node Linked to Jewels,Text puzzle,c
3045,train_3046,train/train_3046.jpg,What is the flower that you see here?,Lotus flowers,Sunflowers,Rose.,Tulip,a
3046,train_3047,train/train_3047.jpg,Which of the following is correct by the title of the book?,"42 things I have to do before I die, before it's too late.",The art of communication and communication.,A man and a man who can see through the world.,Dignified Age,a
3047,train_3048,train/train_3048.jpg,What kind of flowers do you see here?,Rose.,Tulip,Sunflowers,SUDDEN,d
3048,train_3049,train/train_3049.jpg,What plants do you see in this picture?,pine tree,Maple trees,Bank Tree,Bamboo,d
3049,train_3050,train/train_3050.jpg,Who sent you a message from the elevator display?,President Yoon Seok-chul.,Senator Hong JoonPyo,Director Lee.,"Previously on ""The Fall""...",c
3050,train_3051,train/train_3051.jpg,What's the main use of this room?,Meeting room,Exercisespace,Relaxation,The kitchen.,c
3051,train_3052,train/train_3052.jpg,Where is this picture taken?,Parking lot.,Airport,Mart.,Subway station,a
3052,train_3053,train/train_3053.jpg,Which animal is the sculpture in the picture?,Bear,Puppy,Tiger,Cat.,c
3053,train_3054,train/train_3054.jpg,What is this food?,Galbitan,Cold Faces,Bibimbop,Pockets.,b
3054,train_3055,train/train_3055.jpg,What are the ingredients that don't go into this food?,Cocknuts,Eggs,Pork,Kimchi.,d
3055,train_3056,train/train_3056.jpg,What's the main ingredient of this food?,Kare and Bob.,Pockets.,Bibimbop,Kimchichichichig,a
3056,train_3057,train/train_3057.jpg,What food is not included in this lunch box?,Bob.,Salad,Sand sandwich.,Juice,a
3057,train_3058,train/train_3058.jpg,What food is not included in this diet?,Chicken Cream,ROAR BUSY,Pockets.,Kimchichichichimbam,d
3058,train_3059,train/train_3059.jpg,What food is not in this lunch box?,Avocado,A tuna,DANNY MIGHT,Two.,b
3059,train_3060,train/train_3060.jpg,What food is not included in this lunch box?,Hot dogs,Two.,Bob.,Salad,c
3060,train_3061,train/train_3061.jpg,What is the drink served with this lunch?,Apple juice,White milk,Orange juice,The Black Cliff. Two oils.,d
3061,train_3062,train/train_3062.jpg,What food is not included in this meal?,Kimchi.,- Jean-Song.,The beef.,Eggs.,a
3062,train_3063,train/train_3063.jpg,What food is not included in this lunch box?,French fries.,"Black beans, two oils.",Salad,Sand sandwich.,a
3063,train_3064,train/train_3064.jpg,What food is not included in this lunch box?,MEMBER OF MEMBER,Two.,beef patty.,Bob.,d
3064,train_3065,train/train_3065.jpg,What is the drink in this lunch box?,Coffee.,Milk,Juice,Two.,d
3065,train_3066,train/train_3066.jpg,What's a counter-fashion that's not included in this lunch box?,Eggs.,The beef.,Bounce,Kimchi.,b
3066,train_3067,train/train_3067.jpg,What is the food that you don't see in the lunch box?,Kimchi.,Bouncing,Eggs.,UNITED STATES,c
3067,train_3068,train/train_3068.jpg,What is the drink contained in this lunch box?,Orange juice,Grapes,berry juice,Apple juice,d
3068,train_3069,train/train_3069.jpg,What food is not included in this lunch box?,Pasta.,Onion,Corn.,Apologize.,d
3069,train_3070,train/train_3070.jpg,What are the ingredients that are not included in the lunch box in the picture?,Corn.,Tomato,Kang Kang Kong,Life is an egg.,b
3070,train_3071,train/train_3071.jpg,What's the material that's not in this lunch box?,Eggs,Yeah.,Corn.,Black Olive,a
3071,train_3072,train/train_3072.jpg,What food is not in this lunch box?,Sand sandwich.,Eggs,Macaroni salad.,Kimbab.,d
3072,train_3073,train/train_3073.jpg,What's the main food in this picture?,Blossoming Waters,Congolese Water,Bibimbop,Cold Faces,b
3073,train_3074,train/train_3074.jpg,What's not on the table in this picture?,Book,Lemon Drinks,White lighting.,"And strawberries, smoothie.",a
3074,train_3075,train/train_3075.jpg,What are the drinks and desserts you see in the picture?,Ice lattes and mango cake.,The green tea latte and the chocolate cake.,Hot chocolate and strawberries cake.,Americano and cheesecakes.,a
3075,train_3076,train/train_3076.jpg,What is the food in this picture?,Ramon,Tattoos,Bibimbop,Kimchichichichig,a
3076,train_3077,train/train_3077.jpg,What is one of the foods that you see on the table in this picture that has a lot of cheese in it?,Drinks,A cream dish full of cheese.,Bread and butter.,Roasting with tomatoes and vegetables.,b
3077,train_3078,train/train_3078.jpg,What's this thing that's stored in the fridge that has 24 grams of protein in it?,"Dr. Yu, pro-pro-protein drinks.",Banana-like milk.,Celex Propet.,I love you.,a
3078,train_3079,train/train_3079.jpg,What's in the picture?,Cell phone,Laptop,Olymps,Book,c
3079,train_3080,train/train_3080.jpg,What's the drink in the picture?,Ice America and Ice Capuccino,Iastee and Espresso,Green and red tea.,Hot chocolate and lattes.,a
3080,train_3081,train/train_3081.jpg,What is a bird sitting in a picture?,TYPLE,Carpet,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",A wooden stick.,c
3081,train_3082,train/train_3082.jpg,What's the cover for this?,The smartphone case.,Wireless earphone cases.,Tablet Cover,Laptop Pouch,b
3082,train_3083,train/train_3083.jpg,What's the background color of the image in the frame in the picture?,Green,Yellow,Red,Blue,a
3083,train_3084,train/train_3084.jpg,Where was the nest of the birds in this picture built?,Above the Earth,Above the poles,Under the ceiling of the building.,Above the tree,c
3084,train_3085,train/train_3085.jpg,What is the weather in the sky in this picture?,Rain,Clear,Snow,Halftone,b
3085,train_3086,train/train_3086.jpg,What are the features of the beach that you see in this picture?,There's no sand like a desert.,There's a mountain.,There's snow everywhere.,A lot of parasols.,d
3086,train_3087,train/train_3087.jpg,What's the action that the vehicle can't do at this intersection?,Organisation,Utton,Left turn.,Turn right.,c
3087,train_3088,train/train_3088.jpg,What can't you see in this picture?,The pool.,The playground.,Cars,Man,a
3088,train_3089,train/train_3089.jpg,What kind of place is this picture showing?,Museum of Art.,Helm.,Library,Café,b
3089,train_3090,train/train_3090.jpg,What is it that isn't included in this food?,Steak.,Salad,Spaghetti.,The potatomus.,c
3090,train_3091,train/train_3091.jpg,What is the building that you see here?,Hospital,The mall.,An apartment.,School,c
3091,train_3092,train/train_3092.jpg,What does this traffic sign mean?,No traffic.,A pedestrian and a bike can travel together.,Only pedestrians can go.,I can only ride my bike.,b
3092,train_3093,train/train_3093.jpg,What country's culture is associated with the traditional light that we see here?,KOREA,Thailand,Japan,China,c
3093,train_3094,train/train_3094.jpg,What do the animal shapes of this image look like?,Cat.,Rabbit.,Puppy,Bear,d
3094,train_3095,train/train_3095.jpg,What's the hand holding on to this picture?,Hands with forks.,A hand that cuts a piece of cake.,Hands with spoons.,A hand with a candle in it.,d
3095,train_3096,train/train_3096.jpg,What is the drink in this picture?,Drinks of soda,Coffee.,Beer.,Apple juice,c
3096,train_3097,train/train_3097.jpg,What is the drink in this picture?,Drinks of soda,A Drink Without Alcohol at All,Alcohol beer.,Fruit juice,b
3097,train_3098,train/train_3098.jpg,What kind of architecture do you see here?,The steel structure.,Modern Buildings,Hanok sperm,Western - style church,c
3098,train_3099,train/train_3099.jpg,Which direction are you heading at this bus stop?,Outside the station.,Left,Right,Inside the station.,b
3099,train_3100,train/train_3100.jpg,Where did this picture take the stairs?,Inside the cafe.,department store,Hospital,School building.,a
3100,train_3101,train/train_3101.jpg,What is the type of ride in this picture?,Bicycle,Electric Kickboard,Motorcycle,Scooter,b
3101,train_3102,train/train_3102.jpg,When was this photograph taken?,It's been shot during the day.,It was shot at night.,It was shot at dawn.,It was taken at sunset.,b
3102,train_3103,train/train_3103.jpg,What do you see in this picture on the front side of the construction site in the directions to bicycle traffic?,No pedestrian traffic.,Allow Bicycle Traffic,No bike traffic.,No car traffic.,c
3103,train_3104,train/train_3104.jpg,What kind of store is the building in this picture?,Hospital,Academy,Café,Auto repair shop,d
3104,train_3105,train/train_3105.jpg,What's the burn that you see in this image?,Bicycle,Scooter,Electric Kickboard,Motorcycle,c
3105,train_3106,train/train_3106.jpg,"What is the traditional, jade-type building in this picture?",Temple,Walls,Storehouse,sperm,d
3106,train_3107,train/train_3107.jpg,What is it that you can't see in this image?,Tree,Blue grass.,Garbage Envelope,Man,d
3107,train_3108,train/train_3108.jpg,What's the mode of transport that you see in this picture?,Bicycle,Motorcycle,Cars,Electric Kickboard,d
3108,train_3109,train/train_3109.jpg,What's the burn that you see in this picture?,Motorcycle,Electric Kickboard,Bicycle,Skateboard,b
3109,train_3110,train/train_3110.jpg,What are the furniture that you see in this picture?,Tables and chairs,Tables and chairs,Beds and closets.,The couch and the table.,b
3110,train_3111,train/train_3111.jpg,What is the animal in this picture?,Puppy,Foxes,Rabbit.,Cat.,d
3111,train_3112,train/train_3112.jpg,What's the title of this book?,Hanro,The Zamong Salgo Club.,The peach story.,Number of Fruits,b
3112,train_3113,train/train_3113.jpg,What's the weight on this scale?,68.6 kg,78.6 kg,58.6 kg,72.6 kg,a
3113,train_3114,train/train_3114.jpg,What's the color of the traffic lights in this picture?,Yellow,Green,Red,Blue,c
3114,train_3115,train/train_3115.jpg,What's the manufacturer of the vehicle that you see in this picture?,Pair,Chebore,Modern Times,GYA,c
3115,train_3116,train/train_3116.jpg,What is the facility on the eighth floor of this building?,Hand Massing Support,Helm.,Pharmaceutical,Café,a
3116,train_3117,train/train_3117.jpg,Where did this picture come from?,Inside the cafe.,Restaurants,Library,Office,a
3117,train_3118,train/train_3118.jpg,What's the characteristic of the road that you see in this picture?,There's a lot of cars parked on the road.,The lights are on at night.,There are many pedestrians.,The road is dirt.,b
3118,train_3119,train/train_3119.jpg,What is the food in this picture?,Pizza.,Kimbab.,Chicken.,Fuck you.,c
3119,train_3120,train/train_3120.jpg,What is the food on this plate?,Tattoos,Choake.,Fuck you.,Kimbab.,b
3120,train_3121,train/train_3121.jpg,What are the tools that are used to prepare the last part of this meal?,Gasburner,Airfryer.,Electric rice cooker,microwave,a
3121,train_3122,train/train_3122.jpg,What does the store you see in this picture specialize in?,Kimchi.,Coffee.,Electronic Products,Bread.,a
3122,train_3123,train/train_3123.jpg,What's the place in this picture?,Construction site,Parking lot.,School yard.,Park,a
3123,train_3124,train/train_3124.jpg,What's the scene in this picture for?,Getting ready for the festival.,Parking lot.,Parking site.,Construction site,d
3124,train_3125,train/train_3125.jpg,What's the use of the white wall that you see in this picture?,Home Bracket,Artwork,Pens at the school yard.,The Occupation,d
3125,train_3126,train/train_3126.jpg,What is this building for?,Hospital,Fire Department,Police station,School,b
3126,train_3127,train/train_3127.jpg,What can't be seen from this picture?,Airplane,A plastic house.,Buildings,Road,a
3127,train_3128,train/train_3128.jpg,Where are people walking in this picture?,The cherry blossom park,Green Tea Fields,Corn Fields,Apple Farm,b
3128,train_3129,train/train_3129.jpg,Where is the most likely photograph of this?,On the beach.,At the top of the mountain.,In the park.,On the highway.,d
3129,train_3130,train/train_3130.jpg,What's not on this shelf?,Book,Glass,The plate.,Plants,a
3130,train_3131,train/train_3131.jpg,What does the picture on the wall represent?,Coffee cups and cups,Flowers and plants,Books and pencils,"The plates, spoons, forks.",d
3131,train_3132,train/train_3132.jpg,What is the traditional architecture that you see here?,Hanok,The palace.,The Aspects of the Secrets,The sperm on the wall.,d
3132,train_3133,train/train_3133.jpg,What's the place where people are walking in this picture?,The Wall Street,Park,A walkway.,Beaches,a
3133,train_3134,train/train_3134.jpg,What time period is the bridge that you see in this picture?,In the middle of the night.,Time for dinner,noon,Morning sunrise.,b
3134,train_3135,train/train_3135.jpg,What is this food?,Kimchichichichig,Choake.,Bibimbop,Sashimi.,d
3135,train_3136,train/train_3136.jpg,Which plants do you see mainly on either side of this road?,Flowers and grass,Trees and shrubs.,Bamboo,Cacti and polygamous plants,b
3136,train_3137,train/train_3137.jpg,What's the boy doing here?,I'm reading a book.,I'm watching television.,I'm listening to music.,We're playing video games.,d
3137,train_3138,train/train_3138.jpg,Where's the food truck event in the photo?,University of Pronam,University of Seoul,The University of the Aged,University of Koryo,a
3138,train_3139,train/train_3139.jpg,What is the cold drink that you see in this picture?,Ice Coffee,Yugocha,Lemon Ade,Ice Tea,c
3139,train_3140,train/train_3140.jpg,What food can't be seen in the GS25 lunch corner in this image?,hamburgers,The back-of-the-kath box.,Holy water bagels,"You know, I'm sure you're right.",a
3140,train_3141,train/train_3141.jpg,What is the price of the discounted T-shirt in this image?,"39,900 won.","US$ 1,9,900 won.","US$ 1,9,900.","9,900 won",c
3141,train_3142,train/train_3142.jpg,What's the meat that's roasting in this picture?,Three-fold weight.,The beef.,Garvey.,Chicken Garvey,a
3142,train_3143,train/train_3143.jpg,What is the food in this picture?,Pockets.,Bibimbop,Roast rice.,Kimbab.,c
3143,train_3144,train/train_3144.jpg,Which of the following didn't go into this food?,Kimchi.,Tofu,The beef.,Bean sprout,a
3144,train_3145,train/train_3145.jpg,What is the animal in the picture?,Rabbit.,Puppy,hamster.,Cat.,d
3145,train_3146,train/train_3146.jpg,What's on the beach sand in this picture?,Leaves,Rose flower.,Shells,Stone.,b
3146,train_3147,train/train_3147.jpg,Where did this picture come from?,Bus stop.,Port,Airport,Train station,c
3147,train_3148,train/train_3148.jpg,What is the background of this picture?,Airport runway.,Highway,Park,Railway Station,a
3148,train_3149,train/train_3149.jpg,What are the drinks and desserts you see in the image?,Ice Americano and chocolate cake.,Isty and carrots cake.,Capuccino and vanilla cake.,Latham and cheese cake.,a
3149,train_3150,train/train_3150.jpg,What's the location where this picture is taken?,Port docks.,Train station platform,Airport runway.,Bus stop.,c
3150,train_3151,train/train_3151.jpg,Where is this picture taken?,Airport runway.,Port docks.,Train station platform,Bus stop.,a
3151,train_3152,train/train_3152.jpg,What is the animal that's on the hand in the picture?,Snake,Lizards,The frog.,Turtle,c
3152,train_3153,train/train_3153.jpg,What is the animal in the picture?,Turtle,Snake,The frog.,Lizards,c
3153,train_3154,train/train_3154.jpg,What is the animal in this picture?,Turtle,The frog.,Lizards,Snake,b
3154,train_3155,train/train_3155.jpg,What are the animals in this picture?,Snake,Lizards,The frog.,Turtle,c
3155,train_3156,train/train_3156.jpg,What's the price of the doll in the picture?,5000 won,$2.00.,"1,000 won.",$3.00.,d
3156,train_3157,train/train_3157.jpg,What's the soda with this food?,Beer.,Wine,Makgill,Soju.,d
3157,train_3158,train/train_3158.jpg,What are the characteristics of the computer cases that you see on your desk in this picture?,The case is metal.,The computer case is on the monitor.,"It's made of transparent glass, so I can see the inside.",The computer case is under the desk.,c
3158,train_3159,train/train_3159.jpg,What's the state of the road in this picture?,The road is under construction.,The road is dry.,There's snow on the road.,The road's wet.,d
3159,train_3160,train/train_3160.jpg,What are the marine animals in this picture?,Dolphins,Whale,rays,Shark.,c
3160,train_3161,train/train_3161.jpg,What is the marine life that you see in this picture?,Whale,Dolphins,Shark.,rays,d
3161,train_3162,train/train_3162.jpg,What's the flower in the picture?,SUDDEN,Tulip,Sunflowers,Rose.,b
3162,train_3163,train/train_3163.jpg,What is the flower that you see here?,Tulip,Sunflowers,Rose.,The cherry blossom,d
3163,train_3164,train/train_3164.jpg,What's the store that you see in this picture selling?,Book,Your clothes.,Shoes.,Coffee and tea.,d
3164,train_3165,train/train_3165.jpg,What is the object that you see in the picture?,A piece of wood,Treaty Stone,A piece of plastic,Metal Parts,b
3165,train_3166,train/train_3166.jpg,What can't you see in this picture?,Heaven,Tree,Man,Road,c
3166,train_3167,train/train_3167.jpg,What is the animal in this picture?,Pigeons,Chicken.,Rabbit.,duck,d
3167,train_3168,train/train_3168.jpg,Where is this picture taken?,In a city high-rise building.,At the beach.,At the top of the mountain.,On the plane.,d
3168,train_3169,train/train_3169.jpg,Which one is closer?,They're the same place.,Fal-Eng-San-San-San-San-San-San-San-San-San-San-San-San-San-San-San-Song.,Repositation,The distance is not specified.,b
3169,train_3170,train/train_3170.jpg,What do you see in this picture?,Inside the mall.,Outdoor gardens and art.,Indoor exhibitions.,Inside the library,b
3170,train_3171,train/train_3171.jpg,Where is the puppy sitting in this picture?,Garden,The couch.,The front seat of the car.,Table chairs,c
3171,train_3172,train/train_3172.jpg,What's the weather on the beach that you see here?,Halftone Weather,"Clear, sunny weather.",Rainy Weather,Snowy weather,b
3172,train_3173,train/train_3173.jpg,What is the animal in this picture?,Puppy,hamster.,Rabbit.,Cat.,a
3173,train_3174,train/train_3174.jpg,What's the place where the puppy in the photo is sleeping?,Top of the floor,I don't have a puppy's house.,On the bed.,On the couch.,c
3174,train_3175,train/train_3175.jpg,What is the food that you see in this picture that the egg has gone up into the heart shape?,Kimchichichichig,Kimbab.,Yakio-dong,Oconomyaki.,c
3175,train_3176,train/train_3176.jpg,What time time was this picture taken?,It's lunch time.,Time for dinner sunsets,Time for sunrise.,In the middle of the night.,b
3176,train_3177,train/train_3177.jpg,What is the bridge that you see here?,A River Bridge,The North harbor Bridge,Man - made Bridges,The Canon Bridge,d
3177,train_3178,train/train_3178.jpg,What's a puppy covering in a picture?,A blanket.,towel,Your clothes.,The blanket.,d
3178,train_3179,train/train_3179.jpg,What's the characteristic of the egg Fry in the photo?,The eggs all have three nodes.,The eggs all have one node.,Both eggs have two nodes.,There's no one missing all the eggs.,c
3179,train_3180,train/train_3180.jpg,Where is this photograph most likely to have been photographed?,On the train.,I'm not on the plane.,In the car.,On the bus.,a
3180,train_3181,train/train_3181.jpg,When's the sales time for this store?,12:00~23:00,10:00~20:00,11:30~22:00,9:00~18:00,c
3181,train_3182,train/train_3182.jpg,What's the identity of this image?,Photosynthesis,Independent Gate,General Deucalion.,THE SERIOUS KING OF THE SERVANT,c
3182,train_3183,train/train_3183.jpg,What is it about street-spot vehicles that you see in this picture that are mainly sold?,GUYS,Electronic Products,Drinks,Street food.,d
3183,train_3184,train/train_3184.jpg,What is the roof pattern of this structure?,Western - style pewter roof,Japanese flag and roof.,"Chinese, Chinese, right-sided roof.",The Roof of a Hankong,d
3184,train_3185,train/train_3185.jpg,What's the main feature of the place in this picture?,A vast desert landscape.,A city with a lot of tall buildings.,Wide Fields and Fields,"There's a beach, there's a lighthouse, there's a beach.",d
3185,train_3186,train/train_3186.jpg,What is the sky on the beach that you see in this picture?,It's a little blurry.,It's so dark and so cloudy.,It's clear and beautiful.,It's raining.,b
3186,train_3187,train/train_3187.jpg,What's the clothing that's usually sold in this picture?,Blue jeans.,Court.,Scut,The suit.,a
3187,train_3188,train/train_3188.jpg,What's the guideline next to the integer in the picture?,Don't leave any water.,Don't break the integer.,Use the cup clean.,Get rid of the ice that fell on the floor.,d
3188,train_3189,train/train_3189.jpg,What's the name of the locker that you see in this picture?,LOCKER A,LOCKER C,LOCKER B,LOCKER D,b
3189,train_3190,train/train_3190.jpg,What is it that's not on the table?,Mouse,Water bottles,Keyboard,Black bag.,d
3190,train_3191,train/train_3191.jpg,What's right about the words on the wall?,"The endless challenges of youth, come with us now!","The endless challenges of youth, come with us to the future.","The young men have endless challenges, come with them, go back to the past!","The endless challenge of youth, go alone to the future.",b
3191,train_3192,train/train_3192.jpg,What is this food?,Vary iced water,Ice cream,Kimbab.,Fuck you.,a
3192,train_3193,train/train_3193.jpg,What is the dog in the picture holding in its mouth?,Food,Your clothes.,Neckline,Toys,d
3193,train_3194,train/train_3194.jpg,Where is the white cat in the picture?,Mountain trails,Indoor living room,Park of the inner city.,The road near the beach.,d
3194,train_3195,train/train_3195.jpg,What's wrong with the color combination of the dolls in the picture?,Blue top and red bottom,Black shoes,Red top and blue bottom,The yellow top and the blue bottom.,a
3195,train_3196,train/train_3196.jpg,What are the flowers that people have in this picture?,Rose.,Mussels,Tulip,Sunflowers,a
3196,train_3197,train/train_3197.jpg,How many of the cats in the picture are white with brown markings?,One.,Number four.,Third.,Number two.,b
3197,train_3198,train/train_3198.jpg,What's growing in the stone that you see in the picture?,Ericks.,A mushroom.,Tree,Flowers,a
3198,train_3199,train/train_3199.jpg,What do you see in this picture?,A walk through the snow.,People walk during the day.,The sands on the beach.,A tree road lit up at night.,d
3199,train_3200,train/train_3200.jpg,What is the food in this picture baking?,GEORGE,The squid.,Chicken.,Three-fold weight.,a
3200,train_3201,train/train_3201.jpg,What's parked on the right side of this picture?,Motorcycle,Bus,Cars,Bicycle,a
3201,train_3202,train/train_3202.jpg,What kind of flowers do you see in this picture?,Gary.,The cherry blossom,It's true.,The tree.,b
3202,train_3203,train/train_3203.jpg,What color is the character with the yellow cheeks in this picture?,Black,Green,Blue,Red,c
3203,train_3204,train/train_3204.jpg,What's the main feature of the beach village that you see here?,"The mountains are in the background, and boats are on the beach.",We've got large ships and port cranes.,We've got a lot of tall buildings in it.,I see deserts and dunes.,a
3204,train_3205,train/train_3205.jpg,What's the closest thing to this building?,Lake,"Mountains, summit.",City Street,Beaches,a
3205,train_3206,train/train_3206.jpg,Which airport is this photo of?,Kimpo International Airport,The State International Airport,Pusanchhai Airport,In - Heaven Airport,b
3206,train_3207,train/train_3207.jpg,What is this character doing?,She's sitting by the road.,I'm driving a car.,I'm riding my bike.,I'm walking with my suitcase.,d
3207,train_3208,train/train_3208.jpg,What's the main ingredient in this food?,Pork,GEORGE,The beef.,Chicken.,b
3208,train_3209,train/train_3209.jpg,What's the white sauce that's been sprayed on this food?,Ketham.,mayonnaise,Mustard.,Liver,b
3209,train_3210,train/train_3210.jpg,What are the ingredients that don't go into this food?,Avocado,Tomato,The beef.,Eggs,b
3210,train_3211,train/train_3211.jpg,What's the food in the picture?,Choake.,Kimchi.,Synchronising folder,Tang Soil,c
3211,train_3212,train/train_3212.jpg,What is the food on this plate?,Kimchichichig and Bob.,Chicken and fries.,Steak and salad.,Fishfish and rice.,c
3212,train_3213,train/train_3213.jpg,What are the characteristics of the cake on the table in the photograph?,There's flowers on the cake.,It's got strawberries on it.,It's a chocolate cake.,It's got two seconds in it.,b
3213,train_3214,train/train_3214.jpg,What can't you see in this picture?,Tables and chairs,Dropped garbage on the floor.,They're sitting there.,The arch structure of the hall ceiling.,c
3214,train_3215,train/train_3215.jpg,What do you see in the picture?,High-rise buildings in the city.,Desert Landscapes,Rural villages with mountains and houses.,The beach and the sea.,c
3215,train_3216,train/train_3216.jpg,What is the blue structure that you see in this picture?,Lights,Iron fence.,Benchi.,Cars,b
3216,train_3217,train/train_3217.jpg,What are some of the things that were shown in this picture mainly in the shelves?,Miniature camping goods,Electronic Products,Kitchen goods,Books and phrases.,a
3217,train_3218,train/train_3218.jpg,What kind of clothes do you see in this picture?,A jacket.,Hoodty.,Blue jeans.,T-shirt,b
3218,train_3219,train/train_3219.jpg,What is the most likely structure in this picture?,Art sculptures,A sporting facility.,The housing site.,Agricultural Greenhouse,a
3219,train_3220,train/train_3220.jpg,What is the space in this picture?,Helm.,Coffee shop.,The movie theater.,Library,b
3220,train_3221,train/train_3221.jpg,What's the main plant on the beach that you see here?,Maple trees,A oak tree,Palms,pine tree,c
3221,train_3222,train/train_3222.jpg,What are some of these foods that are not seafood?,Shrimps,clams,Oi.,Mussels,c
3222,train_3223,train/train_3223.jpg,What's the name of the energy drunk in the fridge?,Rock star.,The King.,Monster.,Red Bull,b
3223,train_3224,train/train_3224.jpg,What is this thing that you see here?,The couch mattress.,Bed mattresses.,Yoga mats.,Normal couch,a
3224,train_3225,train/train_3225.jpg,What color is the light in this picture?,Yellow,Blue,Green,Red,d
3225,train_3226,train/train_3226.jpg,What is it that you can't see in this room?,TV,Cremation paper.,curtain,Table,d
3226,train_3227,train/train_3227.jpg,What can't you see in this room?,A chair.,A fan,Small table,Boxes,a
3227,train_3228,train/train_3228.jpg,What is cooking in this picture?,I'm cooking fish.,I'm cooking chicken and potatoes.,I'm cooking pork and onions.,I'm cooking beef and carrots.,c
3228,train_3229,train/train_3229.jpg,What is the food in this picture?,The caps and beefs are cooked.,Gathering Fruits,Chicken barbecue.,Seafood Salad,a
3229,train_3230,train/train_3230.jpg,What is the doll in the picture holding?,Fishy doll.,Apple doll.,The frog doll.,The bunny.,a
3230,train_3231,train/train_3231.jpg,What are the appliances that you see in this picture?,Washer,Refrigerator.,Air conditioner,microwave,a
3231,train_3232,train/train_3232.jpg,What is this food?,A fried chicken.,Chicken breast salad.,The marinated chicken.,Chicken roasting.,a
3232,train_3233,train/train_3233.jpg,What food is not included in this meal?,Kimchi.,Salad,Bob.,Eggs.,d
3233,train_3234,train/train_3234.jpg,What time period is this picture taken?,Late at night.,"By the end of the night,",Early in the morning.,Daylight,b
3234,train_3235,train/train_3235.jpg,What food is not included in this meal?,Mandou,The beef.,Kimchi.,Eggs.,b
3235,train_3236,train/train_3236.jpg,What's the place where people are walking in this picture?,Near the bus stop.,A Walk by the Rivers of the City,Inside the mall.,The park walkway.,b
3236,train_3237,train/train_3237.jpg,What are people doing in this picture?,I'm drinking wine wine.,I'm reading a book.,I'm drinking coffee.,I'm exercising.,a
3237,train_3238,train/train_3238.jpg,What is this food?,Kimchichichichig,Pockets.,Bibimbop,Number of rice,d
3238,train_3239,train/train_3239.jpg,What is the food in this picture?,Spaghetti and Salad,Pizza and roasted rice.,hamburgers and Cokes.,Chicken and fries.,b
3239,train_3240,train/train_3240.jpg,What's on the other side of the river in the photograph?,Desert,High-rise buildings.,Farming,Mountains,b
3240,train_3241,train/train_3241.jpg,What time is this picture of a beach?,Night,Morning,Daylight,Evening,a
3241,train_3242,train/train_3242.jpg,What is the food in this picture?,Bibimbop,Fuck you.,Steak.,Kimchi.,c
3242,train_3243,train/train_3243.jpg,What is this thing that you see here?,hydrant,Fire Alarm,Fire hose,fire extinguisher,d
3243,train_3244,train/train_3244.jpg,What kind of food is this image of?,Hot dogs and tacos.,The pizza and the pasta.,Chobop and Ramin,hamburgers and fries.,a
3244,train_3245,train/train_3245.jpg,What are the main ingredients of this food?,Modules,Yeah.,Potatoes.,Tomato,a
3245,train_3246,train/train_3246.jpg,What's the taste of this product?,It's chocolate.,It tastes like green tea.,It tastes like strawberries.,Vanilla cream and honey rookie bread,d
3246,train_3247,train/train_3247.jpg,What kind of animal is this little doll in this picture?,Cat.,Puppy,Rabbit.,Bear,c
3247,train_3248,train/train_3248.jpg,What is local food that you see in this picture?,Fuck you.,"Oh, shit.",Pupils.,Tattoos,b
3248,train_3249,train/train_3249.jpg,What are the kinds of animals in the picture?,Puppy,Cat.,Rabbit.,Squirrels,b
3249,train_3250,train/train_3250.jpg,What is this food?,Kimchichichichig,Bibimbop,beef noodles,Pockets.,c
3250,train_3251,train/train_3251.jpg,What is the natural phenomenon that you see in this picture?,"In the fall, there's plenty of grain.",A field of snow.,A Field of Spring Flowers,Land dried up by drought.,b
3251,train_3252,train/train_3252.jpg,What are the seasons that you see in this picture?,Summer,Winter,fall,Spring,b
3252,train_3253,train/train_3253.jpg,What's the main background of this picture?,Sea and harbor.,A lake and a walkway.,Deserts and dunes.,Mountains and forests.,a
3253,train_3254,train/train_3254.jpg,When is this picture of a bridge taken?,The bridge on rainy days.,The bridge taken during the day.,The bridge at night.,The bridge that was taken on the day of the snow.,c
